date,cl1,cl2,roll coef,day of month,roll last month,is end of month,date,month close,roll coef,perf month init,perf month corr,long only reinvested,long only not reinvested,pos strat 7,perf strat7,strat 7 reinvested,strat 7 not reinvested,pos strat 9,perf strat9,strat 9 reinvested,strat 9 not reinvested,unnamed: 22,unnamed: 23,trading cost,unnamed: 25,pos aver7 aver9,perf aver7 aver9,aver7 aver9 reinvested,aver7 aver9 not reinvested,0,0.1,trading cost .1,0.2
6/3/1985,27.48,26.93,-0.02001455604,1,-0.02277657267,0,10/31/2008,67.81,0.004069693501,-0.3262122417,-0.3260032771,2.144258798,2.202582056,-1.0,0.3260032771,0.7923340573,1.197238829,-1.0,0.3260032771,0.8544295485,1.268442995,2,0.001091703057,0.03438006621,1.234062928,1,-0.3260032771,0,1.62411354,0,0.0004424126235,0.01272160973,1.61139193
6/4/1985,27.47,26.84,-0.02293410994,2,-0.02277657267,0,11/28/2008,54.43,0.009817671809,-0.1973160301,-0.2013857236,1.712435689,2.001196332,-1.0,0.2013857236,0.9518988247,1.398624553,-1.0,0.2013857236,1.026499461,1.469828718,0,0.001092100473,0.03438006621,1.435448652,1,-0.2013857236,0,1.422727817,0,0.000551166636,0.01272160973,1.410006207
6/5/1985,27.02,26.13,-0.03293856403,3,-0.02277657267,0,12/31/2008,44.6,0.06136560069,-0.1805989344,-0.1904166062,1.386359496,1.810779726,-1.0,0.1904166062,1.133156168,1.589041159,-1.0,0.1904166062,1.221962005,1.660245324,0,0.001110288675,0.03438006621,1.625865258,-1,0.1904166062,0,1.613144423,2,0.0006726457399,0.0140669012,1.599077522
6/6/1985,27.08,26.3,-0.02880354505,4,-0.02277657267,0,1/30/2009,41.68,0.2299435028,-0.06547085202,-0.1268364527,1.210518576,1.683943273,-1.0,0.1268364527,1.276881677,1.715877612,-1.0,0.1268364527,1.376951331,1.787081777,0,0.001107828656,0.03438006621,1.752701711,-1,0.1268364527,0,1.739980875,0,0.0007197696737,0.0140669012,1.725913974
6/7/1985,26.92,26.15,-0.02860326895,5,-0.02277657267,0,2/27/2009,44.76,0.1189016262,0.07389635317,-0.1560471497,1.021620602,1.527896124,-1.0,0.1560471497,1.476135423,1.871924762,-1.0,0.1560471497,1.591820662,1.943128927,0,0.001114413076,0.03438006621,1.908748861,-1,0.1560471497,0,1.896028025,0,0.0006702412869,0.0140669012,1.881961124
6/10/1985,26.81,25.96,-0.03170458784,6,-0.02277657267,0,3/31/2009,49.66,0.01686486486,0.1094727435,-0.009428882712,1.011987862,1.518467241,-1.0,0.009428882712,1.490053731,1.881353644,-1.0,0.009428882712,1.606829752,1.952557809,0,0.001118985453,0.03438006621,1.918177743,-1,0.009428882712,0,1.905456908,0,0.000604107934,0.0140669012,1.891390007
6/11/1985,26.95,26.09,-0.0319109462,7,-0.02277657267,0,4/30/2009,51.12,0.05116751269,0.02939991945,0.01253505459,1.024673185,1.531002296,-1.0,-0.01253505459,1.471375826,1.86881859,-1.0,-0.01253505459,1.586688053,1.940022755,0,0.001113172542,0.03438006621,1.905642689,-1,-0.01253505459,0,1.892921853,0,0.0005868544601,0.0140669012,1.878854952
6/12/1985,27.01,26.17,-0.03109959274,8,-0.02277657267,0,5/29/2009,66.31,0.01364721938,0.297143975,0.2459764623,1.27671867,1.776978758,1.0,0.2459764623,1.833299647,2.114795052,-1.0,-0.2459764623,1.196400139,1.694046293,0,0.001110699741,0.03438006621,1.659666226,-1,-0.2459764623,0,1.646945391,0,0.0004524204494,0.0140669012,1.63287849
6/13/1985,27.41,26.51,-0.03283473185,9,-0.02277657267,0,6/30/2009,69.89,0.009855635758,0.0539888403,0.04034162092,1.32822357,1.817320379,1.0,0.04034162092,1.907257926,2.155136673,1.0,0.04034162092,1.24466486,1.734387913,2,0.001094491062,0.03656904834,1.697818865,-1,-0.04034162092,0,1.60660377,0,0.0004292459579,0.0140669012,1.592536869
6/14/1985,27.29,26.29,-0.03664345914,10,-0.03664345914,0,7/31/2009,69.45,0.01689957751,-0.006295607383,-0.01615124314,1.306771108,1.801169136,1.0,-0.01615124314,1.876453339,2.13898543,1.0,-0.01615124314,1.224561975,1.71823667,0,0.001099303774,0.03656904834,1.681667622,-1,0.01615124314,0,1.622755013,0,0.0004319654428,0.0140669012,1.608688112
6/17/1985,27.23,26.22,-0.03709144326,11,-0.03664345914,0,8/31/2009,69.96,0.03095837654,0.007343412527,-0.009556164984,1.294283388,1.791612971,1.0,-0.009556164984,1.858521642,2.129429265,1.0,-0.009556164984,1.212859859,1.708680505,0,0.001101726037,0.03656904834,1.672111457,1,-0.009556164984,0,1.613198848,2,0.0004288164666,0.01492453414,1.598274314
6/18/1985,27.22,26.29,-0.03416605437,12,-0.03664345914,0,9/30/2009,70.61,0.005216410546,0.009291023442,-0.02166735309,1.266239693,1.769945618,1.0,-0.02166735309,1.818252397,2.107761912,1.0,-0.02166735309,1.186580396,1.687013152,0,0.001102130786,0.03656904834,1.650444104,1,-0.02166735309,0,1.591531495,0,0.0004248689987,0.01492453414,1.576606961
6/19/1985,27.3,26.58,-0.02637362637,13,-0.03664345914,0,10/30/2009,77.0,0.005586592179,0.09049709673,0.08528068618,1.374225483,1.855226304,1.0,0.08528068618,1.973314209,2.193042598,1.0,0.08528068618,1.287772787,1.772293838,0,0.001098901099,0.03656904834,1.73572479,1,0.08528068618,0,1.676812181,0,0.0003896103896,0.01492453414,1.661887647
6/20/1985,27.2,26.58,-0.02279411765,14,-0.03664345914,0,11/30/2009,77.28,0.008906352325,0.003636363636,-0.001950228542,1.371545429,1.853276075,1.0,-0.001950228542,1.969465796,2.191092369,1.0,-0.001950228542,1.285261335,1.77034361,0,0.001102941176,0.03656904834,1.733774562,1,-0.001950228542,0,1.674861953,0,0.0003881987578,0.01492453414,1.659937419
6/21/1985,26.92,26.26,-0.02451708767,15,-0.03664345914,0,12/31/2009,79.36,0.03380808517,0.02691511387,0.01800876155,1.396245264,1.871284837,1.0,0.01800876155,2.004933435,2.209101131,1.0,0.01800876155,1.3084073,1.788352371,0,0.001114413076,0.03656904834,1.751783323,1,0.01800876155,0,1.692870714,0,0.0003780241935,0.01492453414,1.67794618
6/24/1985,26.89,26.29,-0.02231312756,16,-0.03664345914,0,1/29/2010,72.89,0.004743589744,-0.08152721774,-0.1153353029,1.235208893,1.755949534,1.0,-0.1153353029,1.77369383,2.093765828,1.0,-0.1153353029,1.157501748,1.673017069,0,0.001115656378,0.03656904834,1.63644802,1,-0.1153353029,0,1.577535411,0,0.0004115790918,0.01492453414,1.562610877
6/25/1985,26.75,26.13,-0.02317757009,17,-0.03664345914,0,2/26/2010,79.66,0.00499123162,0.09287968171,0.08813609197,1.344075378,1.844085626,-1.0,-0.08813609197,1.617367388,2.005629736,1.0,0.08813609197,1.259519429,1.761153161,0,0.001121495327,0.03656904834,1.724584112,1,0.08813609197,0,1.665671503,0,0.0003766005523,0.01492453414,1.650746969
6/26/1985,26.94,26.39,-0.02041573868,18,-0.03664345914,0,3/31/2010,83.76,0.003692762186,0.05146874215,0.04647751053,1.406544655,1.890563136,1.0,0.04647751053,1.692538598,2.052107247,1.0,0.04647751053,1.318058756,1.807630671,0,0.001113585746,0.03656904834,1.771061623,1,0.04647751053,0,1.712149014,0,0.0003581661891,0.01492453414,1.69722448
6/27/1985,27.09,26.59,-0.0184569952,19,-0.03664345914,0,4/30/2010,86.15,0.01450122793,0.0285339064,0.02484114421,1.441484834,1.915404281,1.0,0.02484114421,1.734583193,2.076948391,1.0,0.02484114421,1.350800844,1.832471815,0,0.001107419712,0.03656904834,1.795902767,1,0.02484114421,0,1.736990158,0,0.0003482298317,0.01492453414,1.722065624
